k,fee,max_slippage,seed,hybrid_spread_mean,hybrid_depth_mean,hybrid_volume_mean,original_spread_mean,original_depth_mean,original_volume_mean,spread_mean,spread_t,spread_p,depth_mean,depth_t,depth_p,volume_mean,volume_t,volume_p
50000000000.0,0.001,0.05,121314,-174.99454571988284,464.39599996090743,366.7633333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-178.6912123865495,-55.962271747021774,4.3290943401535005e-240,2.017666627574023,0.04165407172805209,0.9667883478145991,-161.72833333333332,-1.1092530000024383,0.267766193617105
50000000000.0,0.01,0.1,121314,-290.8079703652343,446.1327401540861,367.015,3.6966666666666668,462.37833333333333,528.4916666666667,-294.504637031901,-42.49110400506792,6.277113788449642e-183,-16.245593179247233,-0.32826783564086276,0.7428238785637622,-161.47666666666666,-1.1024820300108888,0.2706949215219978
500000000000.0,0.05,0.5,5678,-980.5763281849605,576.7539302420194,366.4633333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-984.2729948516271,-32.47955822808863,3.194407875934313e-134,114.37559690868598,2.1943198089565334,0.028595678998543404,-162.02833333333334,-1.1492804454181564,0.2508990425450823
10000000000.0,0.01,0.2,91011,-614.1985352700502,405.0691381296011,368.29333333333335,3.6966666666666668,462.37833333333333,528.4916666666667,-617.895201936717,-50.21668640010806,7.40211909827425e-217,-57.30919520373223,-1.232487485752833,0.21825056622536956,-160.19833333333332,-1.2222167662261363,0.2221063860310827
100000000000.0,0.01,0.5,5678,-1673.1641640453704,466.2531958198144,361.31333333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-1676.8608307120371,-39.788849481751846,2.665001496661081e-170,3.874862486480997,0.07512840060652003,0.940137634574403,-167.17833333333334,-1.1875197861178295,0.23549334240681552
100000000000.0,0.02,0.2,5678,-558.8916604680863,460.8355184827135,367.935,3.6966666666666668,462.37833333333333,528.4916666666667,-562.588327134753,-36.537861208560514,1.373409669369541e-154,-1.5428148506198824,-0.029767511105137513,0.9762623847614216,-160.55666666666667,-1.1358059740016566,0.2564920085538735
10000000000.0,0.001,0.2,1235,-698.6733140176367,618.5291634272132,424.65166666666664,3.6966666666666668,462.37833333333333,528.4916666666667,-702.3699806843033,-56.35756704731469,1.2505134481205916e-241,156.15083009387993,1.868592428010957,0.062167426818923344,-103.84,-0.6240632797126512,0.5328236192717388
500000000000.0,0.02,0.5,5678,-1299.5276520006644,584.9986306890637,359.53,3.6966666666666668,462.37833333333333,528.4916666666667,-1303.224318667331,-38.15855618434106,1.7178646252734009e-162,122.62029735573027,2.372669600648183,0.017974835896471225,-168.96166666666667,-1.2011560880991687,0.23016538910762707
50000000000.0,0.01,0.05,91011,-109.66616359299233,498.1842787747768,388.095,3.6966666666666668,462.37833333333333,528.4916666666667,-113.36283025965899,-37.68480954769506,3.394935893469452e-160,35.80594544144355,0.7444255577951912,0.45691100093464176,-140.39666666666668,-1.0665310508949855,0.28661332444858634
10000000000.0,0.01,0.5,91011,-1918.3198839072231,407.12486029410786,366.075,3.6966666666666668,462.37833333333333,528.4916666666667,-1922.0165505738898,-35.38168225529055,7.216331847363167e-149,-55.253473039225426,-1.1816277670853876,0.23782233001060513,-162.41666666666666,-1.2387082739468303,0.21593874392228912
100000000000.0,0.02,0.1,121314,-241.40945226356396,411.28913832136595,369.475,3.6966666666666668,462.37833333333333,528.4916666666667,-245.10611893023062,-39.96667428160711,3.8241141630876883e-171,-51.08919501196731,-1.068530331808906,0.2857117755670611,-159.01666666666668,-1.0854115419064971,0.278176053037203
10000000000.0,0.05,0.2,91011,-414.5726975464713,410.0412321478721,376.015,3.6966666666666668,462.37833333333333,528.4916666666667,-418.269364213138,-30.395082546367746,1.793433581674472e-123,-52.33710118546117,-1.124984004847244,0.2610463889967682,-152.47666666666666,-1.162552223152467,0.24547418179989897
500000000000.0,0.001,0.2,91011,-719.4124532898652,505.56701957119475,359.77666666666664,3.6966666666666668,462.37833333333333,528.4916666666667,-723.1091199565319,-43.1843745897801,4.188283862466318e-186,43.18868623786144,0.929644439485426,0.35292969367803206,-168.715,-1.2874552616008124,0.19843286736716353
500000000000.0,0.05,0.05,121314,7.920644007511015,471.80392003271254,379.1766666666667,3.6966666666666668,462.37833333333333,528.4916666666667,4.223977340844348,2.6577235814935136,0.00807701143082119,9.425586699379213,0.1909295112146755,0.8486455133457356,-149.315,-1.017968506171272,0.3091038990845963
50000000000.0,0.02,0.05,1235,-64.43154002085866,632.6429353794875,435.44666666666666,3.6966666666666668,462.37833333333333,528.4916666666667,-68.12820668752533,-24.532040342021123,1.5773365700986426e-92,170.2646020461542,1.7953430508686803,0.07310301000900539,-93.045,-0.5631152620751853,0.5735671130793084
10000000000.0,0.05,0.2,91011,-414.5726975464713,410.0412321478721,376.015,3.6966666666666668,462.37833333333333,528.4916666666667,-418.269364213138,-30.395082546367746,1.793433581674472e-123,-52.33710118546117,-1.124984004847244,0.2610463889967682,-152.47666666666666,-1.162552223152467,0.24547418179989897
100000000000.0,0.001,0.2,91011,-664.1538317672674,460.9727798403206,369.4583333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-667.8504984339341,-39.600303809319804,2.0968191194103626e-169,-1.4055534930128608,-0.03006140060056762,0.9760280977452673,-159.03333333333333,-1.2127276951984507,0.22571200778049483
100000000000.0,0.02,0.5,5678,-1640.0553150201688,493.1720614852399,336.95666666666665,3.6966666666666668,462.37833333333333,528.4916666666667,-1643.7519816868355,-39.72591854312741,5.302698825875782e-170,30.793728151906617,0.5978672099873439,0.5501545040898151,-191.535,-1.375413697354883,0.1695173612749357
50000000000.0,0.02,0.1,1235,-228.70731196696983,622.0503187476335,435.35,3.6966666666666668,462.37833333333333,528.4916666666667,-232.40397863363648,-35.95745087185753,1.0024754666681913e-151,159.67198541430028,1.9115173675222294,0.05641501693246606,-93.14166666666667,-0.5598421640886154,0.5757963896425269
500000000000.0,0.01,0.2,5678,-640.7461435868659,560.5451411596531,350.28,3.6966666666666668,462.37833333333333,528.4916666666667,-644.4428102535326,-40.08692266648154,1.0311791337333659e-171,98.16680782631964,1.8917346752716564,0.05900843521570853,-178.21166666666667,-1.277014345417898,0.2020919743911548
500000000000.0,0.02,0.1,5678,-256.14009539109736,558.7417041954528,369.92,3.6966666666666668,462.37833333333333,528.4916666666667,-259.836762057764,-35.734857962631736,1.269726651574871e-150,96.36337086211958,1.8726408311958487,0.061604896134984245,-158.57166666666666,-1.1289536891664453,0.25936929606343156
50000000000.0,0.02,0.5,121314,-1676.023432938252,470.58634677837534,365.90166666666664,3.6966666666666668,462.37833333333333,528.4916666666667,-1679.7200996049187,-37.03849109236649,4.808440257858531e-157,8.20801344504207,0.16846458230548594,0.8662746716388842,-162.59,-1.1127098666769024,0.26627940298625813
500000000000.0,0.001,0.2,1235,-671.6234062142885,892.2865065477167,450.335,3.6966666666666668,462.37833333333333,528.4916666666667,-675.3200728809551,-49.195564560553095,1.487467454404452e-212,429.90817321438357,4.037646931674076,6.100162065501384e-05,-78.15666666666667,-0.47275864115151783,0.6365575928145175
100000000000.0,0.02,0.1,91011,-251.82077143790667,465.2503105915677,379.68333333333334,3.6966666666666668,462.37833333333333,528.4916666666667,-255.51743810457333,-37.323962049785955,1.9385456353499228e-158,2.8719772582344496,0.06150961662449145,0.9509738734143756,-148.80833333333334,-1.1339729408164896,0.25725951666704
500000000000.0,0.02,0.05,1235,-62.79880517218672,737.6630656075268,446.8616666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-66.49547183885339,-25.053501959908708,2.6447534397648054e-95,275.2847322741935,2.896147210049476,0.003915604392153204,-81.63,-0.49331081244232045,0.6219737959684648
500000000000.0,0.01,0.5,1235,-1166.717247251182,777.2442400483121,426.0283333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-1170.4139139178487,-37.98651767085491,1.1677250622620223e-161,314.8659067149789,4.030974169368807,6.27124318076363e-05,-102.46333333333334,-0.6158620037213416,0.5382195407057967
500000000000.0,0.05,0.1,91011,-62.95475142476806,496.94076419141504,376.63666666666666,3.6966666666666668,462.37833333333333,528.4916666666667,-66.65141809143473,-23.159680837798586,3.167105069064319e-85,34.562430858081726,0.7406091121540237,0.4592206863575422,-151.855,-1.156992013444695,0.24773680385226662
100000000000.0,0.05,0.2,91011,-441.650926499391,433.3924795680968,374.9266666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-445.34759316605766,-32.451747783071276,4.432156763769444e-134,-28.98585376523657,-0.6226768668370459,0.5337338607021898,-153.565,-1.170465387092124,0.24227918653849395
100000000000.0,0.02,0.2,121314,-543.3429983498555,462.18662136192086,367.77166666666665,3.6966666666666668,462.37833333333333,528.4916666666667,-547.0396650165222,-39.43819708919611,1.2397453333388417e-168,-0.19171197141257532,-0.0039009519304583932,0.9968887973584818,-160.72,-1.1013904940269712,0.27116910895418556
100000000000.0,0.001,0.5,91011,-1720.7820436298834,499.99428008653524,369.6483333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-1724.4787102965502,-44.56994728864568,2.255772164678364e-192,37.61594675320192,0.7976566046279293,0.4253858802977193,-158.84333333333333,-1.2112580574539311,0.22627416053752258
500000000000.0,0.05,0.5,91011,-1110.6967736001359,542.1237163595165,361.5833333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-1114.3934402668026,-38.20586611007724,1.014776240561325e-162,79.74538302618315,1.685298418621466,0.09245184512169911,-166.90833333333333,-1.2719441354290253,0.20388655379069737
50000000000.0,0.02,0.05,91011,-66.44229402371849,413.9555361808579,375.27166666666665,3.6966666666666668,462.37833333333333,528.4916666666667,-70.13896069038515,-24.004014680073222,1.0203004350054527e-89,-48.422797152475425,-1.0375946504160631,0.29987747530544534,-153.22,-1.1704079838343542,0.2423022574178719
10000000000.0,0.01,0.1,91011,-281.80512389643235,384.7408853712719,365.89166666666665,3.6966666666666668,462.37833333333333,528.4916666666667,-285.501790563099,-41.575849583257344,1.0725313652522114e-178,-77.63744796206146,-1.6698145623051166,0.09547850879555331,-162.6,-1.2404345468427227,0.21530035644850304
