EventTime,Δspread,Δdepth,Δvolume
2025-10-28 09:32:35,0.0,296.0,-59.0
2025-10-28 09:32:36,0.0,303.0,313.0
2025-10-28 09:32:37,0.0,111.0,-71.0
2025-10-28 09:32:38,0.0,12.0,65.0
2025-10-28 09:32:39,0.0,99887.0,-65.0
2025-10-28 09:32:40,-1.0,-815.0,-108.0
2025-10-28 09:32:41,0.0,5.0,32.0
2025-10-28 09:32:42,0.0,110.0,-102.0
2025-10-28 09:32:43,0.0,494.0,-355.0
2025-10-28 09:32:44,-1.0,546.0,-257.0
2025-10-28 09:32:45,0.0,473.0,-34.0
2025-10-28 09:32:46,0.0,160.0,101.0
2025-10-28 09:32:47,0.0,-20.0,51.0
2025-10-28 09:32:48,1.0,-397.0,169.0
2025-10-28 09:32:49,0.0,-512.0,139.0
2025-10-28 09:32:50,0.0,-122.0,4.0
2025-10-28 09:32:51,0.0,-383.0,-52.0
2025-10-28 09:32:52,0.0,-319.0,-44.0
2025-10-28 09:32:53,0.0,185.0,-138.0
2025-10-28 09:32:54,0.0,44.0,129.0
2025-10-28 09:32:55,0.0,148.0,-336.0
2025-10-28 09:32:56,0.0,104.0,75.0
2025-10-28 09:32:57,0.0,-22.0,94.0
2025-10-28 09:32:58,0.0,-279.0,15.0
2025-10-28 09:32:59,0.0,-323.0,108.0
2025-10-28 09:33:00,0.0,597.0,-24.0
2025-10-28 09:33:01,0.0,-100095.0,-182.0
2025-10-28 09:33:02,0.0,-100139.0,-45.0
2025-10-28 09:33:03,-3.0,-101596.0,-28.0
2025-10-28 09:33:04,-1.0,310.0,136.0
2025-10-28 09:33:05,-1.0,52.0,-136.0
2025-10-28 09:33:06,0.0,358.0,225.0
2025-10-28 09:33:07,0.0,363.0,-125.0
2025-10-28 09:33:08,0.0,331.0,-39.0
2025-10-28 09:33:09,0.0,332.0,81.0
2025-10-28 09:33:10,0.0,-119.0,-27.0
2025-10-28 09:33:11,0.0,234.0,223.0
2025-10-28 09:33:12,0.0,267.0,53.0
2025-10-28 09:33:13,0.0,459.0,-31.0
2025-10-28 09:33:14,0.0,100182.0,-96.0
2025-10-28 09:33:15,0.0,99737.0,-75.0
2025-10-28 09:33:16,0.0,-140.0,21.0
2025-10-28 09:33:17,0.0,99725.0,-53.0
2025-10-28 09:33:18,0.0,99832.0,-165.0
2025-10-28 09:33:19,0.0,-176.0,-88.0
2025-10-28 09:33:20,0.0,-576.0,77.0
2025-10-28 09:33:21,0.0,-1104.0,56.0
2025-10-28 09:33:22,0.0,-968.0,-43.0
2025-10-28 09:33:23,0.0,-970.0,68.0
2025-10-28 09:33:24,0.0,-867.0,55.0
2025-10-28 09:33:25,0.0,-882.0,-352.0
2025-10-28 09:33:26,0.0,-846.0,-45.0
2025-10-28 09:33:27,0.0,-816.0,-48.0
2025-10-28 09:33:28,0.0,-937.0,47.0
2025-10-28 09:33:29,0.0,-1224.0,236.0
2025-10-28 09:33:30,0.0,-1057.0,-80.0
2025-10-28 09:33:31,0.0,-1022.0,107.0
2025-10-28 09:33:32,0.0,-984.0,13.0
2025-10-28 09:33:33,0.0,-1277.0,162.0
2025-10-28 09:33:34,0.0,-1174.0,22.0
2025-10-28 09:33:35,0.0,-1294.0,130.0
2025-10-28 09:33:36,0.0,-1471.0,236.0
2025-10-28 09:33:37,0.0,-1278.0,-106.0
2025-10-28 09:33:38,0.0,-1192.0,102.0
2025-10-28 09:33:39,0.0,-1076.0,-87.0
2025-10-28 09:33:40,0.0,-820.0,19.0
2025-10-28 09:33:41,0.0,478.0,-23.0
2025-10-28 09:33:42,0.0,490.0,30.0
2025-10-28 09:33:43,0.0,815.0,-198.0
2025-10-28 09:33:44,0.0,-99173.0,-41.0
2025-10-28 09:33:45,0.0,-99283.0,204.0
2025-10-28 09:33:46,0.0,-99041.0,-139.0
2025-10-28 09:33:47,0.0,-100999.0,13.0
